Centroid 0: [2.03375, 2.1212]
Centroid 1: [2.69777, 2.80291]
Centroid 2: [2.22834, 2.69329]
Centroid 3: [2.7501, 2.23199]

Centroid 0: [1.55197, 1.60128]

Centroid 1: [2.7474, 2.67454]

Centroid 2: [2.27324, 2.6399]

Centroid 3: [2.74072, 2.16166]

Centroid 0: [1.42921, 1.50636]

Centroid 1: [2.73868, 2.65954]

Centroid 2: [2.25128, 2.52558]

Centroid 3: [2.61889, 2.10678]

Centroid 0: [1.42026, 1.49991]

Centroid 1: [2.73381, 2.65355]

Centroid 2: [2.24963, 2.52027]

Centroid 3: [2.59995, 2.09279]

Centroid 0: [1.42026, 1.49991]

Centroid 1: [2.73124, 2.6509]

Centroid 2: [2.25032, 2.52375]

Centroid 3: [2.59539, 2.08923]
